Department,Level,Code,Average Grade
Neuroscience,3000,PN3312,14.59
Neuroscience,3000,PN3313,14.23
Neuroscience,4000,PN4230,15.02
Neuroscience,4000,PN4231,15.45
Neuroscience,4000,PN4234,16.50
Neuroscience,4000,PN4235,15.67
Neuroscience,4000,PN4299,16.21
Art History,1000,AH1001,13.25
Art History,1000,AH1003,13.62
Art History,1000,AH1901,13.20
Art History,2000,AH2001,13.74
Art History,2000,AH2002,13.60
Art History,2000,AH2901,12.43
Art History,3000,AH3104,14.98
Art History,3000,AH3116,14.99
Art History,3000,AH3122,13.88
Art History,3000,AH3130,15.26
Art History,3000,AH3131,15.29
Art History,3000,AH3196,15.17
Art History,3000,AH3901,12.76
Art History,3000,AH3902,12.46
Art History,3000,AH3903,15.22
Art History,3000,AH3904,13.47
Art History,4000,AH4078,14.84
Art History,4000,AH4081,14.80
Art History,4000,AH4087,15.11
Art History,4000,AH4097,15.65
Art History,4000,AH4099,14.52
Art History,4000,AH4106,14.61
Art History,4000,AH4107,13.91
Art History,4000,AH4108,14.72
Art History,4000,AH4124,13.93
Art History,4000,AH4129,15.21
Art History,4000,AH4130,14.72
Art History,4000,AH4133,14.95
Art History,4000,AH4140,14.62
Art History,4000,AH4142,14.73
Art History,4000,AH4147,14.69
Art History,4000,AH4148,14.83
Art History,4000,AH4149,13.27
Art History,4000,AH4151,15.80
Art History,4000,AH4152,15.10
Art History,4000,AH4156,15.09
Art History,4000,AH4157,13.88
Art History,4000,AH4161,14.14
Art History,4000,AH4162,14.20
Art History,4000,AH4163,14.89
Art History,4000,AH4164,15.37
Art History,4000,AH4165,14.86
Art History,4000,AH4166,14.81
Art History,4000,AH4167,14.53
Art History,4000,AH4170,15.09
Art History,4000,AH4171,15.02
Art History,4000,AH4172,14.67
Art History,4000,AH4173,14.96
Art History,4000,AH4174,15.51
Art History,4000,AH4175,14.67
Art History,4000,AH4176,15.75
Art History,4000,AH4177,15.50
Art History,4000,AH4182,15.53
Art History,4000,AH4190,15.21
Art History,4000,AH4196,14.96
Art History,4000,AH4201,15.52
Art History,4000,AH4205,14.54
Art History,4000,AH4207,14.14
Art History,4000,AH4208,14.48
Art History,4000,AH4211,14.06
Art History,4000,AH4212,14.82
Art History,4000,AH4213,14.26
Art History,4000,AH4214,15.26
Art History,4000,AH4215,15.39
Art History,4000,AH4216,14.76
Art History,4000,AH4217,14.24
Art History,4000,AH4220,13.84
Art History,4000,AH4230,14.53
Art History,5000,AH5081,14.24
Art History,5000,AH5093,15.06
Art History,5000,AH5099,15.61
Art History,5000,AH5100,15.07
Art History,5000,AH5118,15.95
Art History,5000,AH5122,15.29
Art History,5000,AH5140,15.88
Art History,5000,AH5147,15.48
Art History,5000,AH5150,13.70
Art History,5000,AH5165,15.48
Art History,5000,AH5190,15.09
Art History,5000,AH5195,15.58
Art History,5000,AH5196,14.22
Art History,5000,AH5200,15.22
Art History,5000,AH5504,15.81
Art History,5000,AH5505,15.56
Art History,5000,AH5506,16.35
Art History,5000,AH5560,15.88
Art History,5000,AH5561,15.89
Art History,5000,AH5562,16.73
Computer Science,1000,CS1002,14.58
Computer Science,1000,CS1003,14.28
Computer Science,1000,CS1004,13.45
Computer Science,1000,CS1005,14.71
Computer Science,1000,CS1006,15.33
Computer Science,1000,CS1101,14.15
Computer Science,1000,ID1005,14.35
Computer Science,1000,IS1101,14.84
Computer Science,1000,IS1102,11.35
Computer Science,1000,IS1901,13.70
Computer Science,2000,CS2001,14.51
Computer Science,2000,CS2002,15.03
Computer Science,2000,CS2003,14.17
Computer Science,2000,CS2006,16.36
Computer Science,2000,CS2101,16.20
Computer Science,2000,IS2901,12.62
Computer Science,3000,CS3051,14.71
Computer Science,3000,CS3052,14.81
Computer Science,3000,CS3053,15.22
Computer Science,3000,CS3098,14.88
Computer Science,3000,CS3099,16.43
Computer Science,3000,CS3101,14.64
Computer Science,3000,CS3102,14.83
Computer Science,3000,CS3104,13.45
Computer Science,3000,CS3105,13.76
Computer Science,3000,CS3106,15.29
Computer Science,3000,CS3301,13.77
Computer Science,3000,CS3302,15.85
Computer Science,3000,IS3901,12.81
Computer Science,4000,CS4052,15.17
Computer Science,4000,CS4098,16.55
Computer Science,4000,CS4099,15.46
Computer Science,4000,CS4102,14.66
Computer Science,4000,CS4103,14.80
Computer Science,4000,CS4201,16.58
Computer Science,4000,CS4202,14.31
Computer Science,4000,CS4203,15.92
Computer Science,4000,CS4204,15.82
Computer Science,4000,CS4302,16.49
Computer Science,4000,CS4303,15.81
Computer Science,4000,CS4402,15.24
Computer Science,5000,CS5001,16.02
Computer Science,5000,CS5002,16.41
Computer Science,5000,CS5003,16.57
Computer Science,5000,CS5010,14.96
Computer Science,5000,CS5011,15.60
Computer Science,5000,CS5012,14.80
Computer Science,5000,CS5021,14.84
Computer Science,5000,CS5023,15.15
Computer Science,5000,CS5030,14.73
Computer Science,5000,CS5031,15.54
Computer Science,5000,CS5032,16.21
Computer Science,5000,CS5033,15.69
Computer Science,5000,CS5040,14.67
Computer Science,5000,CS5041,16.09
Computer Science,5000,CS5042,17.07
Computer Science,5000,CS5043,15.52
Computer Science,5000,CS5044,15.33
Computer Science,5000,CS5052,15.97
Computer Science,5000,CS5098,18.00
Computer Science,5000,CS5099,16.25
Computer Science,5000,CS5199,16.33
Computer Science,5000,CS5899,16.92
Computer Science,5000,IS5101,15.26
Computer Science,5000,IS5102,15.79
Computer Science,5000,IS5103,15.41
Computer Science,5000,IS5104,16.06
Computer Science,5000,IS5105,16.74
Computer Science,5000,IS5106,14.26
Computer Science,5000,IS5108,16.63
Computer Science,5000,IS5188,17.08
Computer Science,5000,IS5189,16.39
Computer Science,5000,IS5199,16.23
History,1000,ME1003,13.78
History,1000,ME1006,13.28
History,1000,MO1007,13.53
History,1000,MO1008,13.61
History,1000,SC1901,12.11
History,2000,HI2001,14.24
History,2000,ME2003,13.43
History,2000,MH2002,13.85
History,2000,MO2008,13.80
History,2000,MO2901,12.98
History,3000,ME3101,15.01
History,3000,ME3102,14.42
History,3000,ME3103,11.95
History,3000,ME3105,16.00
History,3000,ME3142,14.72
History,3000,ME3162,14.52
History,3000,ME3163,15.42
History,3000,ME3206,14.87
History,3000,ME3212,15.00
History,3000,ME3214,14.58
History,3000,ME3222,15.26
History,3000,ME3223,14.97
History,3000,ME3231,15.24
History,3000,ME3232,15.67
History,3000,ME3233,15.04
History,3000,ME3235,14.49
History,3000,ME3236,15.90
History,3000,ME3237,16.00
History,3000,ME3238,15.46
History,3000,ME3301,14.50
History,3000,ME3303,14.80
History,3000,ME3304,14.59
History,3000,ME3305,15.18
History,3000,ME3308,15.13
History,3000,ME3309,14.35
History,3000,ME3311,14.99
History,3000,ME3312,14.64
History,3000,ME3313,15.31
History,3000,ME3314,15.09
History,3000,ME3417,14.98
History,3000,ME3420,13.47
History,3000,ME3423,14.71
History,3000,ME3425,14.19
History,3000,ME3426,14.73
History,3000,ME3427,14.56
History,3000,ME3602,15.38
History,3000,ME3608,15.95
History,3000,ME3611,15.26
History,3000,ME3612,15.08
History,3000,ME3613,15.13
History,3000,ME3616,15.45
History,3000,ME3617,15.28
History,3000,MO3005,15.73
History,3000,MO3019,15.61
History,3000,MO3023,15.41
History,3000,MO3025,14.17
History,3000,MO3026,15.00
